brand,full_name,short,start,end
abarth,2017 - 2023 Abarth 595,Abarth 595,2017.0,2023.0
abarth,2017 - 2023 Abarth 695,Abarth 695,2017.0,2023.0
abarth,2023 Abarth 500e,Abarth 500e,2023.0,-1.0
acura,2017 - 2023 NSX,NSX,2017.0,2023.0
acura,2018 - 2023 MDX,MDX,2018.0,2023.0
acura,2018 - 2023 TLX,TLX,2018.0,2023.0
acura,2019 - 2022 ILX,ILX,2019.0,2022.0
acura,2019 - 2023 RDX,RDX,2019.0,2023.0
acura,2023 Integra,Integra,2023.0,-1.0
acura,2024 ZDX,ZDX,2024.0,-1.0
alfa-romeo,2018 - 2023 Giulia,Giulia,2018.0,2023.0
alfa-romeo,2018 - 2023 Stelvio,Stelvio,2018.0,2023.0
alfa-romeo,2023 Tonale,Tonale,2023.0,-1.0
alpine,2021 - 2024 A110,A110,2021.0,2024.0
aston-martin,2017 DB9 Volante,DB9 Volante,2017.0,-1.0
aston-martin,2017 V8 Vantage,V8 Vantage,2017.0,-1.0
aston-martin,2017 V12 Vantage,V12 Vantage,2017.0,-1.0
aston-martin,2017 - 2018 Vanquish,Vanquish,2017.0,2018.0
aston-martin,2017 - 2018 Rapide,Rapide,2017.0,2018.0
aston-martin,2021 - 2023 DBX,DBX,2021.0,2023.0
audi,2017 - 2023 A3,A3,2017.0,2023.0
audi,2017 - 2023 A4,A4,2017.0,2023.0
audi,2017 - 2023 A5,A5,2017.0,2023.0
audi,2017 - 2023 A6,A6,2017.0,2023.0
audi,2017 - 2023 A7,A7,2017.0,2023.0
audi,2017 - 2023 Q2,Q2,2017.0,2023.0
audi,2017 - 2023 Q7,Q7,2017.0,2023.0
audi,2017 - 2023 R8,R8,2017.0,2023.0
audi,2017 - 2023 TT,TT,2017.0,2023.0
audi,2018 - 2023 Q5,Q5,2018.0,2023.0
audi,2019 - 2023 A1,A1,2019.0,2023.0
audi,2019 - 2023 A8,A8,2019.0,2023.0
audi,2019 - 2023 e‑tron,e‑tron,2019.0,2023.0
audi,2019 - 2023 Q8,Q8,2019.0,2023.0
audi,2020 - 2023 Q3,Q3,2020.0,2023.0
audi,2021 - 2023 e‑tron Sportback,e‑tron Sportback,2021.0,2023.0
audi,2022 - 2023 e‑tron GT,e‑tron GT,2022.0,2023.0
audi,2022 - 2023 Q4 e‑tron,Q4 e‑tron,2022.0,2023.0
audi,2022 - 2023 Q4 Sportback e‑tron,Q4 Sportback e‑tron,2022.0,2023.0
audi,2023 Q8 e‑tron,Q8 e‑tron,2023.0,-1.0
audi,2023 Q8 Sportback e‑tron,Q8 Sportback e‑tron,2023.0,-1.0
baojun,2018 - 2022 310,310,2018.0,2022.0
baojun,2018 - 2022 310W,310W,2018.0,2022.0
