brand,full_name,short,start,end,modelids,makeids,fuzzy_score,matched_name
abarth,2017 - 2023 Abarth 595,Abarth 595,2017.0,2023.0,-1,-1,-1,not matched
abarth,2017 - 2023 Abarth 695,Abarth 695,2017.0,2023.0,-1,-1,-1,not matched
abarth,2023 Abarth 500e,Abarth 500e,2023.0,-1.0,-1,-1,-1,not matched
acura,2017 - 2023 NSX,NSX,2017.0,2023.0,5168,475,100,nsx
acura,2018 - 2023 MDX,MDX,2018.0,2023.0,2147,475,100,mdx
acura,2018 - 2023 TLX,TLX,2018.0,2023.0,5354,475,100,tlx
acura,2019 - 2022 ILX,ILX,2019.0,2022.0,2150,475,100,ilx
acura,2019 - 2023 RDX,RDX,2019.0,2023.0,1871,475,100,rdx
acura,2023 Integra,Integra,2023.0,-1.0,5063,475,100,integra
acura,2024 ZDX,ZDX,2024.0,-1.0,1867,475,100,zdx
alfa-romeo,2018 - 2023 Giulia,Giulia,2018.0,2023.0,10326,493,90,giulia (952)
alfa-romeo,2018 - 2023 Stelvio,Stelvio,2018.0,2023.0,18005,493,100,stelvio
alfa-romeo,2023 Tonale,Tonale,2023.0,-1.0,31666,493,100,tonale
alpine,2021 - 2024 A110,A110,2021.0,2024.0,23020,8030,36,"alpine industrial, llc"
aston-martin,2017 DB9 Volante,DB9 Volante,2017.0,-1.0,1687,440,90,db9
aston-martin,2017 V8 Vantage,V8 Vantage,2017.0,-1.0,1684,440,100,v8 vantage
aston-martin,2017 V12 Vantage,V12 Vantage,2017.0,-1.0,1695,440,100,v12 vantage
aston-martin,2017 - 2018 Vanquish,Vanquish,2017.0,2018.0,1701,440,100,vanquish
aston-martin,2017 - 2018 Rapide,Rapide,2017.0,2018.0,1688,440,100,rapide
aston-martin,2021 - 2023 DBX,DBX,2021.0,2023.0,27591,440,100,dbx
audi,2017 - 2023 A3,A3,2017.0,2023.0,3676,582,100,a3
audi,2017 - 2023 A4,A4,2017.0,2023.0,3146,582,100,a4
audi,2017 - 2023 A5,A5,2017.0,2023.0,3787,582,100,a5
audi,2017 - 2023 A6,A6,2017.0,2023.0,3148,582,100,a6
audi,2017 - 2023 A7,A7,2017.0,2023.0,4015,582,100,a7
audi,2017 - 2023 Q2,Q2,2017.0,2023.0,14343,582,60,200
audi,2017 - 2023 Q7,Q7,2017.0,2023.0,3679,582,100,q7
audi,2017 - 2023 R8,R8,2017.0,2023.0,3789,582,100,r8
audi,2017 - 2023 TT,TT,2017.0,2023.0,3145,582,100,tt
audi,2018 - 2023 Q5,Q5,2018.0,2023.0,3862,582,100,q5
